,precision,recall,f1-score,support
剁椒鱼头,0.9852216748768473,0.9900990099009901,0.9876543209876543,202.0
卤牛肉,0.9497716894977168,0.985781990521327,0.9674418604651163,211.0
口水鸡,0.9444444444444444,0.9251700680272109,0.9347079037800687,147.0
可乐鸡翅,0.966183574879227,0.9615384615384616,0.963855421686747,208.0
土豆炖豆角,0.9662921348314607,0.9555555555555556,0.9608938547486033,90.0
宫保鸡丁,0.9806763285024155,0.9441860465116279,0.9620853080568721,215.0
干煸豆角,0.9836065573770492,0.967741935483871,0.975609756097561,186.0
拔丝地瓜,0.9665071770334929,0.9619047619047619,0.964200477326969,210.0
梅菜扣肉,0.9043478260869565,0.9811320754716981,0.9411764705882353,106.0
毛血旺,0.9210526315789473,0.9722222222222222,0.9459459459459459,72.0
炸蘑菇,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0
烧腊,0.8333333333333334,0.8881578947368421,0.8598726114649682,152.0
烧鸭,0.945054945054945,0.9148936170212766,0.9297297297297298,94.0
甲鱼汤,0.9428571428571428,1.0,0.9705882352941176,33.0
番茄炒蛋,1.0,0.9815668202764977,0.9906976744186047,217.0
番茄牛腩,0.9855072463768116,0.9645390070921985,0.974910394265233,141.0
白切鸡,0.9423076923076923,0.875,0.9074074074074074,56.0
糖渍番茄,0.9387755102040817,0.9787234042553191,0.9583333333333334,47.0
糖醋里脊,0.9653465346534653,0.9375,0.9512195121951219,208.0
红烧肉,0.9634703196347032,0.9723502304147466,0.9678899082568807,217.0
肉夹馍,1.0,0.9875776397515528,0.99375,161.0
苦瓜酿肉,1.0,0.974025974025974,0.9868421052631579,77.0
菠萝咕噜肉,0.9368421052631579,0.956989247311828,0.9468085106382979,93.0
蒸蛋羹,1.0,1.0,1.0,216.0
辣子鸡丁,0.9377777777777778,0.9906103286384976,0.9634703196347032,213.0
辣椒炒肉,0.9444444444444444,0.9714285714285714,0.9577464788732394,140.0
辣白菜,0.9910714285714286,0.9823008849557522,0.9866666666666667,113.0
酿辣椒,0.9853658536585366,0.9950738916256158,0.9901960784313726,203.0
锅包肉,0.9726775956284153,0.8944723618090452,0.9319371727748691,199.0
麻婆豆腐,0.9934640522875817,0.9934640522875817,0.9934640522875817,153.0
accuracy,0.9639782510194834,0.9639782510194834,0.9639782510194834,0.9639782510194834
macro avg,0.9605662752152063,0.9624864762687714,0.961189658197106,4414.0
weighted avg,0.9646872799208573,0.9639782510194834,0.9640403873346676,4414.0
